Year,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Czechoslovakia,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,East Germany (GDR),East Timor,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Falkland Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macau,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritania,Mauritius,Mexico,Moldova,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Hebrides,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Yemen,Norway,Pakistan,Panama,Papua New Guinea,Paraguay,People's Republic of the Congo,Peru,Philippines,Poland,Portugal,Qatar,Republic of the Congo,Rhodesia,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Serbia-Montenegro,Seychelles,Sierra Leone,Singapore,Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,South Yemen,Soviet Union,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Vatican City,Venezuela,Vietnam,Wallis and Futuna,West Bank and Gaza Strip,West Germany (FRG),Western Sahara,Yemen,Yugoslavia,Zaire,Zambia,Zimbabwe
2010,542,0,100,0,2,0,5,0,1,0,0,0,2,22,0,2,0,0,0,0,0,1,0,0,0,0,0,29,0,3,2,13,1,5,1,136,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,3,0,0,0,0,7,1,0,49,0,0,0,0,0,0,0,0,0,0,0,663,4,0,14,1179,4,14,10,7,0,0,2,0,12,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,11,0,38,1,0,0,0,0,3,63,0,0,1,713,0,0,2,0,0,204,1,0,0,0,0,0,251,8,0,1,1,0,0,0,0,0,0,0,130,0,0,0,0,0,3,3,0,0,28,0,0,3,0,0,0,1,1,253,0,1,0,20,0,6,4,2,57,19,0,0,0,0,0,0,0,11,0,0,112,0,0,0,1
2011,421,0,15,0,0,0,1,0,0,1,0,0,1,13,0,1,0,0,0,1,0,1,0,0,0,2,0,8,0,3,0,3,0,6,4,94,0,0,0,0,0,1,0,16,0,0,0,0,0,0,1,18,0,0,1,1,3,0,0,0,8,0,0,0,0,3,8,0,11,0,0,0,0,0,0,0,1,0,0,0,645,21,0,13,1308,4,51,5,3,0,0,0,5,42,1,1,1,0,0,10,0,0,2,0,0,0,0,1,0,0,0,4,0,0,3,0,2,0,0,1,0,2,0,46,2,0,0,0,0,2,175,0,0,3,1012,0,0,4,0,0,151,0,2,0,0,0,0,188,2,2,4,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,38,0,0,1,3,49,0,0,0,182,0,0,3,51,0,0,3,0,47,9,0,0,0,0,0,0,0,20,0,0,118,0,0,0,1
2012,1469,0,41,0,0,0,2,0,0,0,0,0,26,18,0,3,1,0,0,0,1,0,0,1,0,2,0,4,0,0,3,4,0,2,4,115,0,0,0,0,1,0,0,25,0,0,0,0,0,0,1,49,0,0,0,0,3,0,0,0,66,0,0,0,0,3,5,0,24,0,0,1,0,1,0,0,0,0,0,1,613,39,0,5,1435,29,59,10,16,0,0,2,4,80,4,0,0,1,0,15,0,1,57,0,0,0,1,1,0,2,2,19,0,0,0,0,16,1,0,0,1,17,0,46,0,0,0,0,0,1,615,0,0,0,1655,0,0,4,0,9,249,0,0,0,0,0,0,151,6,6,12,3,0,0,0,0,0,0,0,325,4,0,5,0,0,1,4,0,0,40,0,0,2,0,180,0,5,0,280,0,0,3,190,0,4,8,0,54,20,0,0,0,0,1,0,0,23,0,0,313,0,0,0,0
2013,1443,1,22,0,0,0,2,1,1,1,0,1,52,138,0,0,0,1,0,0,0,1,0,3,0,3,1,2,2,3,4,21,0,5,12,149,0,0,2,0,2,1,0,22,1,0,0,1,0,0,2,321,0,0,0,0,5,0,0,0,18,0,0,0,0,2,0,0,56,0,0,6,2,0,0,0,2,0,0,0,694,32,0,11,2852,27,37,7,4,0,1,1,4,80,6,0,0,0,0,121,0,0,291,0,0,0,0,2,0,13,3,58,0,0,0,0,8,0,2,0,18,18,0,104,0,0,0,0,0,4,347,0,0,0,2215,0,0,10,0,13,651,0,0,0,1,0,0,145,4,6,3,0,0,0,0,0,0,0,0,342,13,0,13,0,0,5,14,0,0,46,0,0,0,2,287,2,0,7,472,0,3,29,42,0,0,5,1,136,20,0,0,0,0,1,0,0,64,0,0,435,0,0,0,3
2014,1824,2,13,0,0,0,1,0,8,0,3,0,42,130,0,0,2,0,0,1,0,3,0,3,0,1,0,5,0,69,3,94,1,17,37,231,0,0,0,0,2,5,0,110,0,1,0,0,0,0,0,354,0,0,0,0,2,0,0,0,14,0,0,0,0,2,14,1,27,0,0,0,0,0,0,0,1,0,1,1,860,35,0,9,3934,33,293,7,1,1,5,3,0,115,4,0,2,0,0,205,0,1,729,0,0,0,3,1,0,12,10,69,1,0,0,0,5,0,0,0,22,16,0,7,1,0,0,1,2,5,713,0,0,0,2149,0,0,15,0,12,597,0,0,0,0,0,0,48,2,14,2,0,0,0,0,0,0,0,0,872,20,0,40,0,0,4,16,0,0,157,0,0,5,0,333,1,1,11,423,0,0,23,95,1,6,896,2,104,29,0,0,0,0,4,0,0,133,0,0,814,0,0,0,1
2015,1928,4,15,0,0,0,1,2,12,0,0,0,18,469,0,0,0,0,0,0,0,6,0,5,0,2,6,102,0,83,5,49,27,1,17,136,0,0,0,0,0,4,0,143,5,1,0,0,0,0,1,647,0,0,0,1,7,0,0,9,38,0,0,0,0,1,68,0,30,0,0,0,2,0,0,0,0,0,1,0,885,29,0,9,2751,28,58,6,4,0,10,4,0,70,2,1,3,2,0,44,1,0,543,0,0,0,4,0,0,5,2,121,1,0,0,0,19,0,1,1,8,37,0,48,3,0,0,0,0,41,641,0,0,0,1243,0,0,19,0,10,721,0,0,1,0,0,0,22,0,104,2,0,0,0,0,0,0,0,0,422,5,1,54,0,0,1,11,0,0,158,0,0,35,0,491,0,3,14,278,0,1,19,425,0,10,638,0,114,41,0,1,0,0,3,0,0,245,0,0,818,0,0,0,0
2016,1616,2,9,0,2,0,2,2,9,3,2,0,3,89,0,0,6,0,0,0,0,0,0,3,0,1,10,83,0,58,6,38,5,19,5,110,0,0,0,0,2,2,0,169,1,0,0,0,0,0,6,376,0,0,0,0,13,0,0,3,25,0,0,0,0,4,45,1,30,0,0,0,1,0,1,1,1,0,1,0,1027,19,0,10,3395,15,50,11,1,0,1,11,3,65,8,2,4,4,0,41,0,0,422,0,0,0,0,1,0,19,1,100,0,0,0,0,7,1,0,0,79,74,0,43,6,0,0,1,0,25,535,0,0,0,864,1,0,15,0,4,632,2,0,0,15,0,0,56,1,134,0,0,0,0,1,0,1,0,0,602,27,1,59,0,0,3,1,0,0,173,0,0,16,2,474,1,2,3,329,0,0,12,544,0,15,62,0,104,68,1,0,0,0,6,0,0,157,0,0,917,0,0,0,0
2017,1415,1,14,0,6,0,3,0,4,1,2,0,21,41,0,0,3,0,0,0,0,0,0,2,0,0,32,21,0,111,16,43,6,17,6,119,0,0,0,0,0,3,0,143,0,1,0,1,0,0,3,225,0,0,0,0,28,0,0,2,42,0,0,4,0,1,28,0,44,0,0,0,0,0,0,0,1,0,0,0,967,27,0,11,2548,17,34,10,13,2,0,8,0,97,8,0,3,1,1,24,0,1,191,0,0,0,1,0,1,4,2,142,3,0,0,0,23,0,0,0,15,116,0,247,1,1,0,0,0,13,488,0,0,1,719,0,8,10,0,8,695,1,0,0,0,0,0,34,2,57,0,1,0,0,3,0,0,0,0,617,29,0,54,0,0,4,41,0,0,106,0,0,18,0,250,1,2,6,179,0,0,4,181,0,13,62,0,123,66,0,0,0,0,17,2,0,84,0,0,531,0,0,2,3
2018,1777,0,7,0,0,0,5,1,3,1,1,0,1,33,0,0,3,0,0,0,2,2,0,12,0,1,72,10,1,236,7,46,12,47,1,206,2,0,0,0,0,0,0,163,1,0,0,0,0,0,11,54,0,0,0,0,10,0,0,1,13,0,0,0,0,1,24,2,26,0,0,2,2,0,0,5,0,0,0,0,889,43,0,13,1364,5,63,15,2,0,1,2,0,52,2,0,1,0,0,8,0,0,167,1,0,0,0,0,2,7,2,164,0,0,1,0,27,0,3,1,65,40,0,99,6,18,0,0,7,19,650,0,0,0,480,0,0,4,0,5,601,1,0,0,0,0,0,23,5,94,3,2,0,0,0,0,1,0,0,527,41,1,69,0,0,2,7,0,0,42,0,0,6,1,235,3,3,3,182,0,1,19,94,0,10,36,0,101,76,0,0,0,0,11,1,0,118,0,2,498,0,0,0,2
2019,1806,1,0,0,1,0,1,0,2,0,0,0,0,32,0,0,1,0,1,0,1,0,0,3,0,0,161,6,0,146,5,15,14,27,14,230,1,2,0,0,0,0,0,250,2,0,0,0,0,0,3,63,0,0,0,0,26,0,0,3,21,0,0,1,0,0,17,3,32,0,0,0,0,0,1,4,5,0,1,0,622,26,0,8,644,12,65,8,1,0,2,4,1,50,0,0,0,0,0,7,0,1,70,1,0,0,0,0,5,2,1,139,0,0,0,0,31,0,0,0,133,90,0,200,4,1,0,2,3,49,507,0,0,3,363,0,0,0,0,1,467,0,0,0,0,0,0,10,3,43,1,0,0,0,0,0,0,0,0,361,23,1,13,0,0,4,15,0,0,26,0,0,2,1,293,1,2,1,130,0,1,16,70,0,4,31,0,85,72,0,0,0,0,9,0,0,97,0,0,795,0,0,0,2
2020,2604,1,4,0,1,0,5,0,5,4,0,0,0,30,0,2,3,0,1,0,9,0,0,6,0,1,110,7,1,145,14,36,15,54,21,171,0,0,1,0,11,0,0,310,0,0,1,0,0,0,5,57,0,0,7,0,53,0,0,1,24,0,0,0,0,1,33,10,50,0,0,3,0,0,6,2,2,0,0,0,450,19,0,7,764,10,67,13,4,0,0,0,3,66,3,0,2,0,0,10,0,0,17,0,0,0,0,0,0,1,2,138,0,0,0,0,13,0,0,0,220,65,0,37,37,4,0,12,3,35,478,0,0,2,294,0,0,2,0,2,294,2,1,0,0,0,0,12,1,60,0,0,0,0,0,0,0,0,0,280,17,0,16,0,0,0,1,0,1,33,0,0,3,2,256,0,0,8,39,0,1,5,20,0,5,38,0,90,103,0,0,0,0,7,0,0,61,0,0,474,0,0,0,1
